text,label
இருமுறை தினமுறை ஃப்ளூரைடு பற்பசையால் துலக்குவது பல் சிதைவைத் தடுக்கிறது,சத்திய
ஃப்ளூரைடு பல் சிப்பியை வலிமையாக்குகிறது,சத்திய
தவறாமல் பல் மருத்துவர் பரிசோதனை வாய் நோயை தடுக்கிறது,சத்திய
ஈறு நோய் பிளேக் скопление வளர்ந்ததால் ஏற்படுகிறது,சத்திய
வாய் நோயக்கள் பெரும்பாலும் தடுக்கக்கூடியவை,சத்திய
படுக்கைக்குப் போகும்முன் பல் துலக்குவது பல் ஆரோக்கியத்திற்கு அவசியம்,சத்திய
மென்மையான முடிகளுடன் பல் துலக்குதல் பரிந்துரைக்கப்படுகிறது,சத்திய
மூன்று மாதங்களுக்கு பிறகு பல் தூரிகையை மாற்றக்கூடும்,சத்திய
சர்க்கரை நுகர்வு பல் வெடிப்பின் அபாயத்தை அதிகரிக்கிறது,சத்திய
அமில பানங்கள் பல் சிப்பி நாசப்படுத்தக்கூடும்,சத்திய
அதிக பற்பசை சிறப்பாக சுத்தம் செய்கிறது,கட்டுக்கதை
கடினமாக துலக்குதல் பற்களை பலப்படுத்துகிறது,கட்டுக்கதை
ஸ்கேலிங் பற்களை பலவீனமாக்குகிறது,கட்டுக்கதை
ஈறுகளில் இரத்தம் வந்தால் பல் துலக்குவதை நிறுத்த வேண்டும்,கட்டுக்கதை
மூலிகை பற்பசை எப்போதும் பாதுகாப்பானது,கட்டுக்கதை
பல் துலக்குவதை மவுத்வாஷ் மாற்றும்,கட்டுக்கதை
தினமுறை ஒரு முறை பல் துலக்கினால் போதும்,கட்டுக்கதை
மென்மையான தூரிகை நன்றாக சுத்தம் செய்யாது,கட்டுக்கதை
